"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPM1",1230.22579785963,-0.602103327605362,0.223078160475597,-2.69906891074273,0.00695337765695624,0.069018526282752
"FGR",16.8343851606276,-2.08556933375627,0.711829678008001,-2.92987128549146,0.00339102434571507,0.0438631181100132
"RAD52",110.113538349735,0.879860729181024,0.259921647428963,3.38509984791279,0.00071152367399639,0.0153388939533253
"HS3ST1",56.0414526092612,1.5929006103494,0.514016476111643,3.09892908958706,0.00194221499334851,0.0305202053111953
"CFLAR",689.892832763122,0.713371693749953,0.195956999556898,3.64045017714624,0.000272161770450889,0.00812971541948045
"RBM5",1174.9225162297,0.275382491966055,0.109480540078171,2.51535562182491,0.0118912370566709,0.0967678808572338
"MTMR7",272.689418321276,-0.786690624962497,0.231190435174702,-3.40278188571263,0.000667035074775829,0.0147249326826914
"SLC7A2",2788.11598769359,-1.05817417544317,0.307080095054088,-3.44592239121453,0.000569113778759489,0.01306499634866
"POLDIP2",2581.33055987232,0.284620942569244,0.104129643541562,2.73333253518382,0.00626969971616326,0.0654830030158248
"FKBP4",3703.62792899367,0.536377214591678,0.187497837751671,2.86071146752143,0.00422691550084745,0.0513369306031622
"ACSM3",28.9283988505324,-1.72143943444705,0.449191317110752,-3.83230790283199,0.000126946716763246,0.00465820173186838
"CROT",400.3343799058,-1.38427944249303,0.326474023061021,-4.24009061889221,2.23429569484778e-05,0.00126338433204159
"MAP3K14",404.649971206274,1.40372811513621,0.341269956253646,4.11324843987409,3.90130133815132e-05,0.00194318608528786
"TNFRSF12A",1813.81850539852,1.35664230280106,0.230879397222653,5.87597819086801,4.20353668443583e-09,1.45517398639423e-06
"PHTF2",1767.43890103855,-0.710940449217884,0.193524990632047,-3.67363639649832,0.000239122939611372,0.00753237259775821
"IFRD1",1561.34220565138,0.902986601684483,0.319773132830438,2.82383511613935,0.00474527896795389,0.0553643147525618
"ELAC2",3142.27026528038,0.259804654797029,0.0856897722274807,3.03192140722846,0.0024300246468821,0.0352545216120214
"TRAPPC6A",54.197597492712,-1.38718596821755,0.383042934801959,-3.62148950465502,0.000292911690581514,0.0085259548416733
"RPUSD1",1102.53734708026,0.37509760608806,0.136579950866553,2.7463592109105,0.00602607439840905,0.0641090463887895
"MYLIP",601.924000921335,-1.40166129742942,0.27302164021383,-5.13388351315904,2.83823801771023e-07,4.12201788740506e-05
"AASS",346.427284500504,-0.780125163671379,0.219823933353632,-3.54886363722911,0.000386897382026655,0.0100717418487203
"PKD1",578.653253048677,0.705946574600344,0.208303289654363,3.38903228927263,0.000701397507239301,0.0151442588534908
"RHOBTB2",1045.82506204841,0.477029819393508,0.185981553616705,2.56493082306771,0.0103196377149712,0.0889319435062192
