Symbol;Entrez;Genetype
TSPAN6;7105;protein-coding
DPM1;8813;protein-coding
SCYL3;57147;protein-coding
FIRRM;55732;protein-coding
FGR;2268;protein-coding
FUCA2;2519;protein-coding
GCLC;2729;protein-coding
NFYA;4800;protein-coding
STPG1;90529;protein-coding
NIPAL3;57185;protein-coding
LAS1L;81887;protein-coding
ENPP4;22875;protein-coding
SEMA3F;6405;protein-coding
CFTR;1080;protein-coding
ANKIB1;54467;protein-coding
CYP51A1;1595;protein-coding
KRIT1;889;protein-coding
RAD52;5893;protein-coding
BAD;572;protein-coding
LAP3;51056;protein-coding
CD99;4267;protein-coding
HS3ST1;9957;protein-coding
AOC1;26;protein-coding
MAD1L1;8379;protein-coding
LASP1;3927;protein-coding
SNX11;29916;protein-coding
M6PR;4074;protein-coding
KLHL13;90293;protein-coding
CYP26B1;56603;protein-coding
ICA1;3382;protein-coding
DBNDD1;79007;protein-coding
ALS2;57679;protein-coding
CASP10;843;protein-coding
CFLAR;8837;protein-coding
TFPI;7035;protein-coding
NDUFAF7;55471;protein-coding
RBM5;10181;protein-coding
MTMR7;9108;protein-coding
SLC7A2;6542;protein-coding
ARF5;381;protein-coding
SARM1;23098;protein-coding
POLDIP2;26073;protein-coding
PLXND1;23129;protein-coding
AK2;204;protein-coding
CD38;952;protein-coding
FKBP4;2288;protein-coding
KDM1A;23028;protein-coding
RBM6;10180;protein-coding
CAMKK1;84254;protein-coding
RECQL;5965;protein-coding
VPS50;55610;protein-coding
ARHGAP33;115703;protein-coding
NDUFAB1;4706;protein-coding
PDK4;5166;protein-coding
ZMYND10;51364;protein-coding
SLC25A13;10165;protein-coding
ST7;7982;protein-coding
CDC27;996;protein-coding
CALCR;799;protein-coding
HCCS;3052;protein-coding
DVL2;1856;protein-coding
PRSS22;64063;protein-coding
UPF1;5976;protein-coding
SKAP2;8935;protein-coding
SLC25A5;292;protein-coding
MCUB;55013;protein-coding
POLR2J;5439;protein-coding
DHX33;56919;protein-coding
MEOX1;4222;protein-coding
THSD7A;221981;protein-coding
LIG3;3980;protein-coding
RPAP3;79657;protein-coding
ACSM3;6296;protein-coding
REXO5;81691;protein-coding
CIAPIN1;57019;protein-coding
SPPL2B;56928;protein-coding
ATOSB;80256;protein-coding
COPZ2;51226;protein-coding
PRKAR2B;5577;protein-coding
MSL3;10943;protein-coding
CREBBP;1387;protein-coding
TSPOAP1;9256;protein-coding
MPO;4353;protein-coding
GCFC2;6936;protein-coding
WDR54;84058;protein-coding
CROT;54677;protein-coding
ABCB4;5244;protein-coding
KMT2E;55904;protein-coding
RHBDD2;57414;protein-coding
IBTK;25998;protein-coding
ZNF195;7748;protein-coding
MYCBP2;23077;protein-coding
FBXL3;26224;protein-coding
ITGAL;3683;protein-coding
PDK2;5164;protein-coding
ITGA3;3675;protein-coding
ZFX;7543;protein-coding
LAMP2;3920;protein-coding
ITGA2B;3674;protein-coding
GDE1;51573;protein-coding
REX1BD;55049;protein-coding
CRLF1;9244;protein-coding
OSBPL7;114881;protein-coding
TMEM98;26022;protein-coding
YBX2;51087;protein-coding
MAP3K14;9020;protein-coding
TMEM132A;54972;protein-coding
AP2B1;163;protein-coding
TAC1;6863;protein-coding
ZNF263;10127;protein-coding
CX3CL1;6376;protein-coding
SPATA20;64847;protein-coding
TNFRSF12A;51330;protein-coding
DLX6;1750;protein-coding
MAP3K9;4293;protein-coding
RALA;5898;protein-coding
BAIAP2L1;55971;protein-coding
KDM7A;80853;protein-coding
ETV1;2115;protein-coding
AGK;55750;protein-coding
ALDH3B1;221;protein-coding
TTC22;55001;protein-coding
PHTF2;57157;protein-coding
FARP2;9855;protein-coding
USH1C;10083;protein-coding
GGCT;79017;protein-coding
DBF4;10926;protein-coding
TBXA2R;6915;protein-coding
IFRD1;3475;protein-coding
COX10;1352;protein-coding
GTF2IRD1;9569;protein-coding
PAF1;54623;protein-coding
VPS41;27072;protein-coding
ARHGAP44;9912;protein-coding
ELAC2;60528;protein-coding
SCIN;85477;protein-coding
ARSD;414;protein-coding
PNPLA4;8228;protein-coding
ADIPOR2;79602;protein-coding
CDKL3;51265;protein-coding
PRSS21;10942;protein-coding
MARK4;57787;protein-coding
PROM1;8842;protein-coding
CCDC124;115098;protein-coding
PAFAH1B1;5048;protein-coding
NOS2;4843;protein-coding
BLTP2;9703;protein-coding
GAS7;8522;protein-coding
TRAPPC6A;79090;protein-coding
ST7L;54879;protein-coding
PAX6;5080;protein-coding
RPUSD1;113000;protein-coding
RHBDF1;64285;protein-coding
LUC7L;55692;protein-coding
CACNA2D2;9254;protein-coding
BAIAP3;8938;protein-coding
TSR3;115939;protein-coding
PIGQ;9091;protein-coding
CRAMP1;57585;protein-coding
TEAD3;7005;protein-coding
DNAJC11;55735;protein-coding
MYLIP;29116;protein-coding
E2F2;1870;protein-coding
PSMB1;5689;protein-coding
SYN1;6853;protein-coding
JARID2;3720;protein-coding
CDKL5;6792;protein-coding
CDK11A;728642;protein-coding
NADK;65220;protein-coding
CYTH3;9265;protein-coding
ADAM22;53616;protein-coding
SYPL1;6856;protein-coding
CYB561;1534;protein-coding
SPAG9;9043;protein-coding
CELSR3;1951;protein-coding
AASS;10157;protein-coding
PLEKHG6;55200;protein-coding
SS18L2;51188;protein-coding
MPND;84954;protein-coding
MGST1;4257;protein-coding
CRY1;1407;protein-coding
NFIX;4784;protein-coding
ST3GAL1;6482;protein-coding
MMP25;64386;protein-coding
IL32;9235;protein-coding
PKD1;5310;protein-coding
MAPK8IP2;23542;protein-coding
MED24;9862;protein-coding
RHOBTB2;23221;protein-coding
HEATR5B;54497;protein-coding
SEC62;7095;protein-coding
RPS20;6224;protein-coding
CSDE1;7812;protein-coding
UBE3C;9690;protein-coding
REV3L;5980;protein-coding
TENM1;10178;protein-coding
MASP2;10747;protein-coding
FAM76A;199870;protein-coding
TRAF3IP3;80342;protein-coding
POMT2;29954;protein-coding
VTA1;51534;protein-coding
MLXIPL;51085;protein-coding
BAZ1B;9031;protein-coding
RANBP9;10048;protein-coding
ETV7;51513;protein-coding
SPRTN;83932;protein-coding
METTL13;51603;protein-coding
DYRK4;8798;protein-coding
ZNF207;7756;protein-coding
UQCRC1;7384;protein-coding
STARD3NL;83930;protein-coding
CD9;928;protein-coding
NCAPD2;9918;protein-coding
IFFO1;25900;protein-coding
GIPR;2696;protein-coding
PHF7;51533;protein-coding
NISCH;11188;protein-coding
STAB1;23166;protein-coding
FUZ;80199;protein-coding
IDS;3423;protein-coding
ZNF200;7752;protein-coding
LRRC23;10233;protein-coding
BTK;695;protein-coding
HFE;3077;protein-coding
SCMH1;22955;protein-coding
FYN;2534;protein-coding
HIVEP2;3097;protein-coding
ELOA;6924;protein-coding
LYPLA2;11313;protein-coding
